categoria,nombre,url_logo
Películas y Series,FreeTV Acción,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/a/c/acci_n.png
Infantiles,Plim Plim,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/5/5/555-5555794_el-payaso-plim-plim-payaso-plim-plim-logo.png
Infantiles,Nickelodeon,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/n/i/nickelodeon_1.png
Infantiles,Nick Jr.,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/n/i/nick_jr..png
Infantiles,BABY TV,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo_babytv.png
Infantiles,NICK JR,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/n/i/nickjr_colorido.png
Infantiles,CARTOON NETWORK,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/c/n/cn_brand_logo_1color_white_1_1.png
Infantiles,DISNEY JUNIOR,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/d/i/disney-junior.png
Infantiles,CARTOONITO,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/c/a/cartoonito_1.png
Infantiles,DISCOVERY KIDS,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/d/i/discovery_kids.png
Infantiles,DISNEY CHANNEL,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/d/i/disney_channel_1.png
Infantiles,NICKELODEON,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/n/i/nickelodeon.png
Shows y Música,DSHOW,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo_dshow_color_mesa_de_trabajo_1_2_.png
Shows y Música,Quiero Música En Mi Idioma,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/q/m/qmusica_logo_1.png
Shows y Música,MTV,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/m/t/mtv_blanco_1_1.png
Noticias,RCN Más,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo_rcnmas_yellow_stacked.png
Noticias,RCN Notícias,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/r/c/rcnnoticiasbgcolor.png
Noticias,Defiance Channel,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo_defiance_channel.png
Noticias,DNEWS,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo_dnews.png
Noticias,Azteca Internacional,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/t/v/tv_azteca.png
Noticias,TN,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/t/_/t_dtv_channel_tn.png
Noticias,La Nación+ HD,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/a/la_naci_n_.png
Noticias,A24 HD,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/a/2/a24_hd.png
Noticias,Crónica TV,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/c/r/cr_nica.png
Noticias,BLOOMBERG TELEVISION,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/b/l/bloomberg_tv.png
Noticias,FOX News,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/f/o/fox_news_mx.png
